OTFname,rheology,RMBAshift,OTF,FZ1,FZ2,MOR1,MOR2,MOR3,MOR4,IC1,OC1,IC2,OC2,
Atlantis,hsc,28,19.5,3.7,-3.6,-0.2,-21.6,10.8,-8.7,16,5.9,17.4,3.2,
Atlantis,isov,28,18.7,10.4,3,-2.1,-10.5,8.7,0.8,15.7,8.8,16.7,5.5,
Atlantis,disl,28,20,8,0.7,1.1,-8.5,12.1,2.4,18.6,8.7,19.5,5.7,
Atlantis,vp,28,22.8,7.7,-0.1,1.7,-8.7,12.6,2.3,19.8,8.9,20.8,5.4,
,,,,,,,,,,,,,,
,,,,31.7,24.4,17.1,29.05,,,44,33.9,45.4,31.2,47.5
,,,,38.4,31,21.7,32.75,,,43.7,36.8,44.7,33.5,46.7
,,,,36,28.7,24.3,35.25,,,46.6,36.7,47.5,33.7,48
,,,,35.7,27.9,24.5,35.45,,,47.8,36.9,48.8,33.4,50.8
,,,,,,,,,,,,,,
,,,,,,27.8,6.4,38.8,19.3,,,,,
,,,,,,25.9,17.5,36.7,28.8,,,,,
,,,,,,29.1,19.5,40.1,30.4,,,,,
,,,,,,29.7,19.3,40.6,30.3,,,,,
